[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[False  True False ... False False False],7674,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7656,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[False  True False ... False False False],7674,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[ True False False ... False False False],7666,0
[False  True False ... False False False],7674,0
[ True False False ... False False False],7666,0
